facility_id,stroke_measure_name,stroke_score,compared_to_national
120011,Death rate for stroke patients,Not Available,Number of Cases Too Small
120014,Death rate for stroke patients,12.3,No Different Than the National Rate
120019,Death rate for stroke patients,11.9,No Different Than the National Rate
12001F,Death rate for stroke patients,Not Available,Not Available
120022,Death rate for stroke patients,11.2,No Different Than the National Rate
120026,Death rate for stroke patients,10.6,No Different Than the National Rate
120028,Death rate for stroke patients,13.8,No Different Than the National Rate
121300,Death rate for stroke patients,Not Available,Number of Cases Too Small
121301,Death rate for stroke patients,Not Available,Not Available
121302,Death rate for stroke patients,Not Available,Not Available
121303,Death rate for stroke patients,Not Available,Number of Cases Too Small
121304,Death rate for stroke patients,Not Available,Not Available
121305,Death rate for stroke patients,Not Available,Not Available
121306,Death rate for stroke patients,Not Available,Not Available
121307,Death rate for stroke patients,Not Available,Not Available
121308,Death rate for stroke patients,Not Available,Not Available
123300,Death rate for stroke patients,Not Available,Not Available
123301,Death rate for stroke patients,Not Available,Not Available
130002,Death rate for stroke patients,14.2,No Different Than the National Rate
130003,Death rate for stroke patients,15.6,No Different Than the National Rate
130006,Death rate for stroke patients,15.1,No Different Than the National Rate
130007,Death rate for stroke patients,18.3,Worse Than the National Rate
130013,Death rate for stroke patients,13.8,No Different Than the National Rate
130014,Death rate for stroke patients,12,No Different Than the National Rate
130018,Death rate for stroke patients,16.2,No Different Than the National Rate
130025,Death rate for stroke patients,Not Available,Number of Cases Too Small
130028,Death rate for stroke patients,13.8,No Different Than the National Rate
13003F,Death rate for stroke patients,Not Available,Not Available
130049,Death rate for stroke patients,12.4,No Different Than the National Rate
130063,Death rate for stroke patients,Not Available,Not Available
130065,Death rate for stroke patients,Not Available,Not Available
130066,Death rate for stroke patients,Not Available,Not Available
130071,Death rate for stroke patients,12.2,No Different Than the National Rate
130073,Death rate for stroke patients,Not Available,Not Available
130074,Death rate for stroke patients,13,No Different Than the National Rate
131301,Death rate for stroke patients,Not Available,Number of Cases Too Small
131302,Death rate for stroke patients,Not Available,Number of Cases Too Small
131303,Death rate for stroke patients,Not Available,Number of Cases Too Small
131304,Death rate for stroke patients,Not Available,Not Available
131305,Death rate for stroke patients,Not Available,Number of Cases Too Small
131307,Death rate for stroke patients,Not Available,Number of Cases Too Small
131308,Death rate for stroke patients,Not Available,Not Available
131309,Death rate for stroke patients,Not Available,Number of Cases Too Small
131310,Death rate for stroke patients,Not Available,Not Available
131311,Death rate for stroke patients,Not Available,Number of Cases Too Small
131312,Death rate for stroke patients,Not Available,Number of Cases Too Small
131313,Death rate for stroke patients,Not Available,Number of Cases Too Small
131314,Death rate for stroke patients,Not Available,Number of Cases Too Small
131315,Death rate for stroke patients,Not Available,Number of Cases Too Small
131316,Death rate for stroke patients,Not Available,Number of Cases Too Small
131317,Death rate for stroke patients,Not Available,Number of Cases Too Small
131318,Death rate for stroke patients,Not Available,Number of Cases Too Small
131319,Death rate for stroke patients,Not Available,Number of Cases Too Small
131320,Death rate for stroke patients,13.7,No Different Than the National Rate
131321,Death rate for stroke patients,Not Available,Number of Cases Too Small
131322,Death rate for stroke patients,Not Available,Number of Cases Too Small
131323,Death rate for stroke patients,Not Available,Number of Cases Too Small
131324,Death rate for stroke patients,Not Available,Not Available
131325,Death rate for stroke patients,Not Available,Number of Cases Too Small
131326,Death rate for stroke patients,Not Available,Number of Cases Too Small
131327,Death rate for stroke patients,12.2,No Different Than the National Rate
131328,Death rate for stroke patients,12.4,No Different Than the National Rate
140001,Death rate for stroke patients,Not Available,Number of Cases Too Small
140002,Death rate for stroke patients,13.3,No Different Than the National Rate
140007,Death rate for stroke patients,13.9,No Different Than the National Rate
140008,Death rate for stroke patients,13.1,No Different Than the National Rate
140010,Death rate for stroke patients,9.5,Better Than the National Rate
140011,Death rate for stroke patients,11.3,No Different Than the National Rate
140012,Death rate for stroke patients,Not Available,Number of Cases Too Small
140013,Death rate for stroke patients,13.4,No Different Than the National Rate
140015,Death rate for stroke patients,15,No Different Than the National Rate
140018,Death rate for stroke patients,14.4,No Different Than the National Rate
140029,Death rate for stroke patients,12.4,No Different Than the National Rate
140030,Death rate for stroke patients,10.9,No Different Than the National Rate
140032,Death rate for stroke patients,12.6,No Different Than the National Rate
140034,Death rate for stroke patients,15.1,No Different Than the National Rate
14003F,Death rate for stroke patients,Not Available,Not Available
140043,Death rate for stroke patients,19.5,No Different Than the National Rate
140046,Death rate for stroke patients,12,No Different Than the National Rate
140048,Death rate for stroke patients,11.3,No Different Than the National Rate
140049,Death rate for stroke patients,12.2,No Different Than the National Rate
14004F,Death rate for stroke patients,Not Available,Not Available
140052,Death rate for stroke patients,12.6,No Different Than the National Rate
140053,Death rate for stroke patients,14.1,No Different Than the National Rate
140054,Death rate for stroke patients,11.6,No Different Than the National Rate
140059,Death rate for stroke patients,Not Available,Number of Cases Too Small
140062,Death rate for stroke patients,11.7,No Different Than the National Rate
140063,Death rate for stroke patients,12.2,No Different Than the National Rate
140064,Death rate for stroke patients,14.7,No Different Than the National Rate
140065,Death rate for stroke patients,12.1,No Different Than the National Rate
140067,Death rate for stroke patients,14.5,No Different Than the National Rate
140068,Death rate for stroke patients,Not Available,Number of Cases Too Small
140077,Death rate for stroke patients,Not Available,Not Available
14007F,Death rate for stroke patients,Not Available,Not Available
140080,Death rate for stroke patients,12.2,No Different Than the National Rate
140082,Death rate for stroke patients,11.7,No Different Than the National Rate
140083,Death rate for stroke patients,Not Available,Number of Cases Too Small
140084,Death rate for stroke patients,12.5,No Different Than the National Rate
140088,Death rate for stroke patients,11,No Different Than the National Rate
140089,Death rate for stroke patients,Not Available,Number of Cases Too Small
14008F,Death rate for stroke patients,Not Available,Not Available
140091,Death rate for stroke patients,13,No Different Than the National Rate
140093,Death rate for stroke patients,12.2,No Different Than the National Rate
140095,Death rate for stroke patients,Not Available,Number of Cases Too Small
140100,Death rate for stroke patients,Not Available,Number of Cases Too Small
140101,Death rate for stroke patients,12.7,No Different Than the National Rate
140103,Death rate for stroke patients,Not Available,Number of Cases Too Small
140110,Death rate for stroke patients,15.9,No Different Than the National Rate
140113,Death rate for stroke patients,11.4,No Different Than the National Rate
140114,Death rate for stroke patients,11.7,No Different Than the National Rate
140115,Death rate for stroke patients,Not Available,Number of Cases Too Small
140116,Death rate for stroke patients,12.3,No Different Than the National Rate
140117,Death rate for stroke patients,13.8,No Different Than the National Rate
140119,Death rate for stroke patients,10.3,Better Than the National Rate
140120,Death rate for stroke patients,14.2,No Different Than the National Rate
140122,Death rate for stroke patients,11.8,No Different Than the National Rate
140124,Death rate for stroke patients,Not Available,Number of Cases Too Small
140125,Death rate for stroke patients,Not Available,Number of Cases Too Small
140127,Death rate for stroke patients,12.7,No Different Than the National Rate
140130,Death rate for stroke patients,9.1,Better Than the National Rate
140133,Death rate for stroke patients,13.5,No Different Than the National Rate
140135,Death rate for stroke patients,11.6,No Different Than the National Rate
140137,Death rate for stroke patients,Not Available,Number of Cases Too Small
140145,Death rate for stroke patients,13.3,No Different Than the National Rate
140148,Death rate for stroke patients,12.4,No Different Than the National Rate
140150,Death rate for stroke patients,10.2,Better Than the National Rate
140155,Death rate for stroke patients,13.3,No Different Than the National Rate
140158,Death rate for stroke patients,Not Available,Number of Cases Too Small
140160,Death rate for stroke patients,13.2,No Different Than the National Rate
140161,Death rate for stroke patients,13.4,No Different Than the National Rate
140162,Death rate for stroke patients,13.4,No Different Than the National Rate
140164,Death rate for stroke patients,14.8,No Different Than the National Rate
140166,Death rate for stroke patients,11.1,No Different Than the National Rate
140172,Death rate for stroke patients,11.9,No Different Than the National Rate
140174,Death rate for stroke patients,11.2,No Different Than the National Rate
140177,Death rate for stroke patients,Not Available,Number of Cases Too Small
140179,Death rate for stroke patients,10.1,Better Than the National Rate
140180,Death rate for stroke patients,13.8,No Different Than the National Rate
140181,Death rate for stroke patients,Not Available,Number of Cases Too Small
140182,Death rate for stroke patients,10.4,Better Than the National Rate
140184,Death rate for stroke patients,Not Available,Number of Cases Too Small
140185,Death rate for stroke patients,13.3,No Different Than the National Rate
140186,Death rate for stroke patients,10.8,No Different Than the National Rate
140187,Death rate for stroke patients,11.2,No Different Than the National Rate
140189,Death rate for stroke patients,14.3,No Different Than the National Rate
140191,Death rate for stroke patients,12.1,No Different Than the National Rate
140197,Death rate for stroke patients,Not Available,Not Available
140200,Death rate for stroke patients,13.6,No Different Than the National Rate
140202,Death rate for stroke patients,10.3,Better Than the National Rate
140206,Death rate for stroke patients,Not Available,Number of Cases Too Small
140208,Death rate for stroke patients,9.5,Better Than the National Rate
140209,Death rate for stroke patients,12.1,No Different Than the National Rate
140210,Death rate for stroke patients,Not Available,Number of Cases Too Small
140211,Death rate for stroke patients,11.2,No Different Than the National Rate
140213,Death rate for stroke patients,13.8,No Different Than the National Rate
140217,Death rate for stroke patients,14.1,No Different Than the National Rate
140223,Death rate for stroke patients,10,Better Than the National Rate
140224,Death rate for stroke patients,12.4,No Different Than the National Rate
140228,Death rate for stroke patients,16.9,No Different Than the National Rate
140231,Death rate for stroke patients,13.2,No Different Than the National Rate
140233,Death rate for stroke patients,13.6,No Different Than the National Rate
140239,Death rate for stroke patients,16.2,No Different Than the National Rate
140242,Death rate for stroke patients,10.7,Better Than the National Rate
140251,Death rate for stroke patients,12.5,No Different Than the National Rate
140252,Death rate for stroke patients,12.3,No Different Than the National Rate
140258,Death rate for stroke patients,12.6,No Different Than the National Rate
140275,Death rate for stroke patients,12.9,No Different Than the National Rate
140276,Death rate for stroke patients,13.2,No Different Than the National Rate
140280,Death rate for stroke patients,13.8,No Different Than the National Rate
140281,Death rate for stroke patients,10.6,Better Than the National Rate
140286,Death rate for stroke patients,10.7,No Different Than the National Rate
140288,Death rate for stroke patients,10.5,No Different Than the National Rate
140289,Death rate for stroke patients,13.3,No Different Than the National Rate
140290,Death rate for stroke patients,12.5,No Different Than the National Rate
140291,Death rate for stroke patients,10.5,No Different Than the National Rate
140292,Death rate for stroke patients,13.5,No Different Than the National Rate
140294,Death rate for stroke patients,Not Available,Number of Cases Too Small
140300,Death rate for stroke patients,Not Available,Number of Cases Too Small
140304,Death rate for stroke patients,11.3,No Different Than the National Rate
140308,Death rate for stroke patients,Not Available,Not Available
140310,Death rate for stroke patients,Not Available,Not Available
14034F,Death rate for stroke patients,Not Available,Not Available
141300,Death rate for stroke patients,Not Available,Not Available
141301,Death rate for stroke patients,Not Available,Number of Cases Too Small
141302,Death rate for stroke patients,Not Available,Number of Cases Too Small
141303,Death rate for stroke patients,Not Available,Number of Cases Too Small
141304,Death rate for stroke patients,Not Available,Number of Cases Too Small
141305,Death rate for stroke patients,Not Available,Number of Cases Too Small
141306,Death rate for stroke patients,Not Available,Number of Cases Too Small
141307,Death rate for stroke patients,Not Available,Number of Cases Too Small
141308,Death rate for stroke patients,Not Available,Not Available
141309,Death rate for stroke patients,Not Available,Not Available
141310,Death rate for stroke patients,Not Available,Number of Cases Too Small
141311,Death rate for stroke patients,Not Available,Number of Cases Too Small
141312,Death rate for stroke patients,Not Available,Number of Cases Too Small
141313,Death rate for stroke patients,Not Available,Number of Cases Too Small
141315,Death rate for stroke patients,Not Available,Number of Cases Too Small
141316,Death rate for stroke patients,Not Available,Not Available
141317,Death rate for stroke patients,Not Available,Number of Cases Too Small
141318,Death rate for stroke patients,Not Available,Number of Cases Too Small
141319,Death rate for stroke patients,Not Available,Number of Cases Too Small
141320,Death rate for stroke patients,Not Available,Number of Cases Too Small
141321,Death rate for stroke patients,Not Available,Number of Cases Too Small
141322,Death rate for stroke patients,Not Available,Number of Cases Too Small
141323,Death rate for stroke patients,Not Available,Not Available
141324,Death rate for stroke patients,Not Available,Number of Cases Too Small
141325,Death rate for stroke patients,Not Available,Number of Cases Too Small
141326,Death rate for stroke patients,Not Available,Number of Cases Too Small
141327,Death rate for stroke patients,Not Available,Number of Cases Too Small
141328,Death rate for stroke patients,Not Available,Number of Cases Too Small
141329,Death rate for stroke patients,Not Available,Not Available
141330,Death rate for stroke patients,Not Available,Number of Cases Too Small
141331,Death rate for stroke patients,Not Available,Number of Cases Too Small
141332,Death rate for stroke patients,Not Available,Number of Cases Too Small
141333,Death rate for stroke patients,Not Available,Not Available
141334,Death rate for stroke patients,Not Available,Number of Cases Too Small
141335,Death rate for stroke patients,Not Available,Number of Cases Too Small
141336,Death rate for stroke patients,12.8,No Different Than the National Rate
141337,Death rate for stroke patients,Not Available,Number of Cases Too Small
141338,Death rate for stroke patients,Not Available,Number of Cases Too Small
141339,Death rate for stroke patients,Not Available,Number of Cases Too Small
141340,Death rate for stroke patients,Not Available,Number of Cases Too Small
141341,Death rate for stroke patients,Not Available,Number of Cases Too Small
141342,Death rate for stroke patients,Not Available,Number of Cases Too Small
141343,Death rate for stroke patients,Not Available,Number of Cases Too Small
141344,Death rate for stroke patients,Not Available,Number of Cases Too Small
141345,Death rate for stroke patients,Not Available,Number of Cases Too Small
141346,Death rate for stroke patients,Not Available,Number of Cases Too Small
141347,Death rate for stroke patients,Not Available,Number of Cases Too Small
141348,Death rate for stroke patients,Not Available,Number of Cases Too Small
141349,Death rate for stroke patients,Not Available,Number of Cases Too Small
141350,Death rate for stroke patients,Not Available,Number of Cases Too Small
141351,Death rate for stroke patients,Not Available,Number of Cases Too Small
141352,Death rate for stroke patients,Not Available,Not Available
141353,Death rate for stroke patients,Not Available,Number of Cases Too Small
141354,Death rate for stroke patients,Not Available,Number of Cases Too Small
141355,Death rate for stroke patients,17.1,No Different Than the National Rate
143300,Death rate for stroke patients,Not Available,Not Available
143301,Death rate for stroke patients,Not Available,Not Available
143302,Death rate for stroke patients,Not Available,Not Available
150001,Death rate for stroke patients,11.5,No Different Than the National Rate
150002,Death rate for stroke patients,13.4,No Different Than the National Rate
150005,Death rate for stroke patients,12.8,No Different Than the National Rate
150006,Death rate for stroke patients,13.8,No Different Than the National Rate
150007,Death rate for stroke patients,13.3,No Different Than the National Rate
150008,Death rate for stroke patients,12.1,No Different Than the National Rate
150009,Death rate for stroke patients,12.5,No Different Than the National Rate
150010,Death rate for stroke patients,12.6,No Different Than the National Rate
150011,Death rate for stroke patients,16.3,No Different Than the National Rate
150012,Death rate for stroke patients,12.7,No Different Than the National Rate
150015,Death rate for stroke patients,12.2,No Different Than the National Rate
150017,Death rate for stroke patients,15.1,No Different Than the National Rate
150018,Death rate for stroke patients,14.3,No Different Than the National Rate
150021,Death rate for stroke patients,14.4,No Different Than the National Rate
150022,Death rate for stroke patients,13.2,No Different Than the National Rate
150023,Death rate for stroke patients,13,No Different Than the National Rate
150024,Death rate for stroke patients,12.4,No Different Than the National Rate
150026,Death rate for stroke patients,14.1,No Different Than the National Rate
150030,Death rate for stroke patients,17.2,No Different Than the National Rate
150034,Death rate for stroke patients,12.7,No Different Than the National Rate
150035,Death rate for stroke patients,12.9,No Different Than the National Rate
150037,Death rate for stroke patients,12.3,No Different Than the National Rate
15003F,Death rate for stroke patients,Not Available,Not Available
150042,Death rate for stroke patients,12.8,No Different Than the National Rate
150044,Death rate for stroke patients,13.3,No Different Than the National Rate
150045,Death rate for stroke patients,Not Available,Number of Cases Too Small
150046,Death rate for stroke patients,13.5,No Different Than the National Rate
150047,Death rate for stroke patients,Not Available,Number of Cases Too Small
150048,Death rate for stroke patients,14.6,No Different Than the National Rate
15004F,Death rate for stroke patients,Not Available,Not Available
150051,Death rate for stroke patients,12.6,No Different Than the National Rate
150056,Death rate for stroke patients,13,No Different Than the National Rate
150057,Death rate for stroke patients,Not Available,Number of Cases Too Small
150058,Death rate for stroke patients,15.5,No Different Than the National Rate
150059,Death rate for stroke patients,13.4,No Different Than the National Rate
150061,Death rate for stroke patients,Not Available,Number of Cases Too Small
150065,Death rate for stroke patients,10.4,No Different Than the National Rate
150069,Death rate for stroke patients,11.8,No Different Than the National Rate
150072,Death rate for stroke patients,Not Available,Number of Cases Too Small
150074,Death rate for stroke patients,20.2,Worse Than the National Rate
150075,Death rate for stroke patients,Not Available,Number of Cases Too Small
150076,Death rate for stroke patients,Not Available,Number of Cases Too Small
150082,Death rate for stroke patients,16.4,Worse Than the National Rate
150084,Death rate for stroke patients,15.8,Worse Than the National Rate
150086,Death rate for stroke patients,13.8,No Different Than the National Rate
150088,Death rate for stroke patients,13.2,No Different Than the National Rate
150089,Death rate for stroke patients,12.8,No Different Than the National Rate
150090,Death rate for stroke patients,14.8,No Different Than the National Rate
150091,Death rate for stroke patients,Not Available,Number of Cases Too Small
150097,Death rate for stroke patients,12.4,No Different Than the National Rate
150100,Death rate for stroke patients,11.6,No Different Than the National Rate
150101,Death rate for stroke patients,14.2,No Different Than the National Rate
150102,Death rate for stroke patients,Not Available,Number of Cases Too Small
150104,Death rate for stroke patients,13,No Different Than the National Rate
150109,Death rate for stroke patients,15.4,No Different Than the National Rate
150112,Death rate for stroke patients,12.5,No Different Than the National Rate
150113,Death rate for stroke patients,16.3,No Different Than the National Rate
150115,Death rate for stroke patients,14.5,No Different Than the National Rate
150125,Death rate for stroke patients,9.9,Better Than the National Rate
150126,Death rate for stroke patients,15.9,No Different Than the National Rate
150128,Death rate for stroke patients,16.5,No Different Than the National Rate
150133,Death rate for stroke patients,16.3,No Different Than the National Rate
150146,Death rate for stroke patients,13.3,No Different Than the National Rate
150149,Death rate for stroke patients,Not Available,Not Available
150150,Death rate for stroke patients,Not Available,Number of Cases Too Small
150153,Death rate for stroke patients,Not Available,Number of Cases Too Small
150157,Death rate for stroke patients,12.4,No Different Than the National Rate
150158,Death rate for stroke patients,11.6,No Different Than the National Rate
150160,Death rate for stroke patients,Not Available,Not Available
150161,Death rate for stroke patients,11.3,No Different Than the National Rate
150162,Death rate for stroke patients,12.1,No Different Than the National Rate
150165,Death rate for stroke patients,12,No Different Than the National Rate
150166,Death rate for stroke patients,Not Available,Not Available
150167,Death rate for stroke patients,Not Available,Not Available
150168,Death rate for stroke patients,Not Available,Not Available
150169,Death rate for stroke patients,15.4,No Different Than the National Rate
150172,Death rate for stroke patients,Not Available,Not Available
150173,Death rate for stroke patients,11.2,No Different Than the National Rate
150177,Death rate for stroke patients,Not Available,Not Available
150179,Death rate for stroke patients,Not Available,Not Available
150181,Death rate for stroke patients,Not Available,Number of Cases Too Small
150183,Death rate for stroke patients,Not Available,Number of Cases Too Small
150193,Death rate for stroke patients,Not Available,Not Available
150195,Death rate for stroke patients,Not Available,Not Available
151300,Death rate for stroke patients,Not Available,Number of Cases Too Small
151301,Death rate for stroke patients,Not Available,Number of Cases Too Small
151303,Death rate for stroke patients,Not Available,Number of Cases Too Small
151304,Death rate for stroke patients,Not Available,Number of Cases Too Small
151305,Death rate for stroke patients,Not Available,Number of Cases Too Small
151306,Death rate for stroke patients,Not Available,Number of Cases Too Small
151307,Death rate for stroke patients,Not Available,Number of Cases Too Small
151308,Death rate for stroke patients,Not Available,Number of Cases Too Small
151309,Death rate for stroke patients,Not Available,Number of Cases Too Small
151310,Death rate for stroke patients,Not Available,Number of Cases Too Small
151311,Death rate for stroke patients,Not Available,Number of Cases Too Small
151312,Death rate for stroke patients,Not Available,Number of Cases Too Small
151313,Death rate for stroke patients,Not Available,Number of Cases Too Small
151314,Death rate for stroke patients,Not Available,Number of Cases Too Small
151315,Death rate for stroke patients,Not Available,Number of Cases Too Small
151316,Death rate for stroke patients,Not Available,Number of Cases Too Small
151317,Death rate for stroke patients,13.7,No Different Than the National Rate
151318,Death rate for stroke patients,Not Available,Number of Cases Too Small
151319,Death rate for stroke patients,Not Available,Number of Cases Too Small
151320,Death rate for stroke patients,Not Available,Number of Cases Too Small
151322,Death rate for stroke patients,Not Available,Number of Cases Too Small
151323,Death rate for stroke patients,Not Available,Number of Cases Too Small
151324,Death rate for stroke patients,Not Available,Number of Cases Too Small
151325,Death rate for stroke patients,Not Available,Number of Cases Too Small
151326,Death rate for stroke patients,Not Available,Not Available
151327,Death rate for stroke patients,Not Available,Number of Cases Too Small
151328,Death rate for stroke patients,12.6,No Different Than the National Rate
151329,Death rate for stroke patients,Not Available,Number of Cases Too Small
151330,Death rate for stroke patients,Not Available,Number of Cases Too Small
151331,Death rate for stroke patients,Not Available,Number of Cases Too Small
151332,Death rate for stroke patients,Not Available,Number of Cases Too Small
151333,Death rate for stroke patients,Not Available,Number of Cases Too Small
151334,Death rate for stroke patients,Not Available,Number of Cases Too Small
160001,Death rate for stroke patients,Not Available,Number of Cases Too Small
160013,Death rate for stroke patients,13.9,No Different Than the National Rate
160016,Death rate for stroke patients,13.4,No Different Than the National Rate
160028,Death rate for stroke patients,13.6,No Different Than the National Rate
160029,Death rate for stroke patients,11.9,No Different Than the National Rate
160030,Death rate for stroke patients,12.4,No Different Than the National Rate
160032,Death rate for stroke patients,Not Available,Number of Cases Too Small
160033,Death rate for stroke patients,15.7,No Different Than the National Rate
16003F,Death rate for stroke patients,Not Available,Not Available
160040,Death rate for stroke patients,Not Available,Number of Cases Too Small
160045,Death rate for stroke patients,14.3,No Different Than the National Rate
160047,Death rate for stroke patients,14.2,No Different Than the National Rate
16004F,Death rate for stroke patients,Not Available,Not Available
160057,Death rate for stroke patients,14.5,No Different Than the National Rate
160058,Death rate for stroke patients,13.6,No Different Than the National Rate
160064,Death rate for stroke patients,13.3,No Different Than the National Rate
160067,Death rate for stroke patients,13.5,No Different Than the National Rate
160069,Death rate for stroke patients,12.7,No Different Than the National Rate
160079,Death rate for stroke patients,14,No Different Than the National Rate
160080,Death rate for stroke patients,11.5,No Different Than the National Rate
160082,Death rate for stroke patients,12,No Different Than the National Rate
160083,Death rate for stroke patients,13.8,No Different Than the National Rate
160089,Death rate for stroke patients,Not Available,Number of Cases Too Small
160101,Death rate for stroke patients,Not Available,Number of Cases Too Small
160104,Death rate for stroke patients,15.7,No Different Than the National Rate
160110,Death rate for stroke patients,12.6,No Different Than the National Rate
160112,Death rate for stroke patients,14.9,No Different Than the National Rate
160117,Death rate for stroke patients,12,No Different Than the National Rate
160124,Death rate for stroke patients,13.3,No Different Than the National Rate
160146,Death rate for stroke patients,13.8,No Different Than the National Rate
160147,Death rate for stroke patients,12.9,No Different Than the National Rate
160153,Death rate for stroke patients,14.8,No Different Than the National Rate
161300,Death rate for stroke patients,Not Available,Not Available
161301,Death rate for stroke patients,Not Available,Number of Cases Too Small
161302,Death rate for stroke patients,Not Available,Number of Cases Too Small
161303,Death rate for stroke patients,Not Available,Number of Cases Too Small
161304,Death rate for stroke patients,Not Available,Number of Cases Too Small
161305,Death rate for stroke patients,Not Available,Not Available
161306,Death rate for stroke patients,Not Available,Number of Cases Too Small
161307,Death rate for stroke patients,Not Available,Number of Cases Too Small
161308,Death rate for stroke patients,Not Available,Number of Cases Too Small
161309,Death rate for stroke patients,Not Available,Number of Cases Too Small
161310,Death rate for stroke patients,Not Available,Number of Cases Too Small
161311,Death rate for stroke patients,Not Available,Number of Cases Too Small
161312,Death rate for stroke patients,Not Available,Number of Cases Too Small
161313,Death rate for stroke patients,Not Available,Number of Cases Too Small
161314,Death rate for stroke patients,Not Available,Number of Cases Too Small
161315,Death rate for stroke patients,Not Available,Number of Cases Too Small
161316,Death rate for stroke patients,Not Available,Number of Cases Too Small
161317,Death rate for stroke patients,Not Available,Number of Cases Too Small
161318,Death rate for stroke patients,Not Available,Number of Cases Too Small
161319,Death rate for stroke patients,Not Available,Number of Cases Too Small
161320,Death rate for stroke patients,Not Available,Number of Cases Too Small
161321,Death rate for stroke patients,Not Available,Number of Cases Too Small
161322,Death rate for stroke patients,Not Available,Number of Cases Too Small
161323,Death rate for stroke patients,Not Available,Number of Cases Too Small
161324,Death rate for stroke patients,Not Available,Number of Cases Too Small
161325,Death rate for stroke patients,Not Available,Number of Cases Too Small
161326,Death rate for stroke patients,Not Available,Number of Cases Too Small
161327,Death rate for stroke patients,Not Available,Number of Cases Too Small
161328,Death rate for stroke patients,Not Available,Number of Cases Too Small
161329,Death rate for stroke patients,Not Available,Number of Cases Too Small
161330,Death rate for stroke patients,Not Available,Number of Cases Too Small
161331,Death rate for stroke patients,Not Available,Number of Cases Too Small
161332,Death rate for stroke patients,Not Available,Number of Cases Too Small
161333,Death rate for stroke patients,Not Available,Number of Cases Too Small
161334,Death rate for stroke patients,Not Available,Number of Cases Too Small
161335,Death rate for stroke patients,Not Available,Number of Cases Too Small
161336,Death rate for stroke patients,Not Available,Number of Cases Too Small
161337,Death rate for stroke patients,Not Available,Number of Cases Too Small
161338,Death rate for stroke patients,Not Available,Number of Cases Too Small
161339,Death rate for stroke patients,Not Available,Number of Cases Too Small
161340,Death rate for stroke patients,Not Available,Number of Cases Too Small
161341,Death rate for stroke patients,Not Available,Number of Cases Too Small
161342,Death rate for stroke patients,Not Available,Number of Cases Too Small
161343,Death rate for stroke patients,Not Available,Number of Cases Too Small
161344,Death rate for stroke patients,Not Available,Number of Cases Too Small
161345,Death rate for stroke patients,Not Available,Number of Cases Too Small
161346,Death rate for stroke patients,Not Available,Number of Cases Too Small
161347,Death rate for stroke patients,Not Available,Number of Cases Too Small
161348,Death rate for stroke patients,Not Available,Number of Cases Too Small
161349,Death rate for stroke patients,Not Available,Number of Cases Too Small
161350,Death rate for stroke patients,Not Available,Not Available
161351,Death rate for stroke patients,Not Available,Number of Cases Too Small
161352,Death rate for stroke patients,Not Available,Number of Cases Too Small
161353,Death rate for stroke patients,15.9,No Different Than the National Rate
161354,Death rate for stroke patients,Not Available,Number of Cases Too Small
161355,Death rate for stroke patients,Not Available,Number of Cases Too Small
161356,Death rate for stroke patients,Not Available,Number of Cases Too Small
161357,Death rate for stroke patients,Not Available,Number of Cases Too Small
161358,Death rate for stroke patients,Not Available,Number of Cases Too Small
161359,Death rate for stroke patients,Not Available,Number of Cases Too Small
161360,Death rate for stroke patients,Not Available,Number of Cases Too Small
161361,Death rate for stroke patients,Not Available,Number of Cases Too Small
161362,Death rate for stroke patients,Not Available,Number of Cases Too Small
161363,Death rate for stroke patients,Not Available,Number of Cases Too Small
161364,Death rate for stroke patients,Not Available,Number of Cases Too Small
161365,Death rate for stroke patients,13.2,No Different Than the National Rate
161366,Death rate for stroke patients,Not Available,Number of Cases Too Small
161367,Death rate for stroke patients,Not Available,Number of Cases Too Small
161368,Death rate for stroke patients,Not Available,Number of Cases Too Small
161369,Death rate for stroke patients,Not Available,Number of Cases Too Small
161370,Death rate for stroke patients,Not Available,Number of Cases Too Small
161371,Death rate for stroke patients,Not Available,Number of Cases Too Small
161372,Death rate for stroke patients,Not Available,Number of Cases Too Small
161373,Death rate for stroke patients,Not Available,Number of Cases Too Small
161374,Death rate for stroke patients,Not Available,Number of Cases Too Small
161375,Death rate for stroke patients,Not Available,Number of Cases Too Small
161376,Death rate for stroke patients,18.1,No Different Than the National Rate
161377,Death rate for stroke patients,Not Available,Number of Cases Too Small
161378,Death rate for stroke patients,Not Available,Not Available
161379,Death rate for stroke patients,16.8,No Different Than the National Rate
161380,Death rate for stroke patients,Not Available,Number of Cases Too Small
161381,Death rate for stroke patients,Not Available,Number of Cases Too Small
161382,Death rate for stroke patients,13.6,No Different Than the National Rate
170006,Death rate for stroke patients,13.2,No Different Than the National Rate
170009,Death rate for stroke patients,Not Available,Number of Cases Too Small
170012,Death rate for stroke patients,14.9,No Different Than the National Rate
170013,Death rate for stroke patients,12.3,No Different Than the National Rate
170014,Death rate for stroke patients,Not Available,Number of Cases Too Small
170016,Death rate for stroke patients,12.3,No Different Than the National Rate
170017,Death rate for stroke patients,Not Available,Number of Cases Too Small
170020,Death rate for stroke patients,11.2,No Different Than the National Rate
170023,Death rate for stroke patients,13.1,No Different Than the National Rate
170027,Death rate for stroke patients,Not Available,Number of Cases Too Small
17002F,Death rate for stroke patients,Not Available,Not Available
170040,Death rate for stroke patients,15.6,Worse Than the National Rate
170049,Death rate for stroke patients,11.3,No Different Than the National Rate
