facility_id,stroke_measure_name,stroke_score,compared_to_national
021313,Death rate for stroke patients,Not Available,Number of Cases Too Small
021314,Death rate for stroke patients,Not Available,Number of Cases Too Small
030002,Death rate for stroke patients,14,No Different Than the National Rate
030006,Death rate for stroke patients,14.5,No Different Than the National Rate
030007,Death rate for stroke patients,12.7,No Different Than the National Rate
030010,Death rate for stroke patients,15.1,No Different Than the National Rate
030011,Death rate for stroke patients,15.1,No Different Than the National Rate
030012,Death rate for stroke patients,15.1,No Different Than the National Rate
030013,Death rate for stroke patients,13.8,No Different Than the National Rate
030014,Death rate for stroke patients,15,No Different Than the National Rate
030016,Death rate for stroke patients,14,No Different Than the National Rate
030022,Death rate for stroke patients,Not Available,Number of Cases Too Small
030023,Death rate for stroke patients,13.1,No Different Than the National Rate
030024,Death rate for stroke patients,15.3,No Different Than the National Rate
030030,Death rate for stroke patients,14,No Different Than the National Rate
030036,Death rate for stroke patients,12.9,No Different Than the National Rate
030037,Death rate for stroke patients,Not Available,Number of Cases Too Small
030038,Death rate for stroke patients,15.3,No Different Than the National Rate
030043,Death rate for stroke patients,15.3,No Different Than the National Rate
030055,Death rate for stroke patients,14.1,No Different Than the National Rate
030061,Death rate for stroke patients,13.8,No Different Than the National Rate
030062,Death rate for stroke patients,12.4,No Different Than the National Rate
030064,Death rate for stroke patients,14.7,No Different Than the National Rate
030065,Death rate for stroke patients,14,No Different Than the National Rate
030069,Death rate for stroke patients,14.6,No Different Than the National Rate
030071,Death rate for stroke patients,Not Available,Number of Cases Too Small
030073,Death rate for stroke patients,Not Available,Number of Cases Too Small
030074,Death rate for stroke patients,Not Available,Not Available
030078,Death rate for stroke patients,Not Available,Not Available
030083,Death rate for stroke patients,17.1,No Different Than the National Rate
030084,Death rate for stroke patients,Not Available,Number of Cases Too Small
030085,Death rate for stroke patients,14.6,No Different Than the National Rate
030087,Death rate for stroke patients,13.8,No Different Than the National Rate
030088,Death rate for stroke patients,13.8,No Different Than the National Rate
030089,Death rate for stroke patients,12.6,No Different Than the National Rate
030092,Death rate for stroke patients,13,No Different Than the National Rate
030093,Death rate for stroke patients,13.7,No Different Than the National Rate
030094,Death rate for stroke patients,14.3,No Different Than the National Rate
030101,Death rate for stroke patients,12.4,No Different Than the National Rate
030103,Death rate for stroke patients,9.4,Better Than the National Rate
030105,Death rate for stroke patients,Not Available,Number of Cases Too Small
030107,Death rate for stroke patients,Not Available,Not Available
030108,Death rate for stroke patients,Not Available,Not Available
030110,Death rate for stroke patients,17.3,Worse Than the National Rate
030111,Death rate for stroke patients,Not Available,Number of Cases Too Small
030112,Death rate for stroke patients,Not Available,Not Available
030113,Death rate for stroke patients,Not Available,Not Available
030114,Death rate for stroke patients,11.4,No Different Than the National Rate
030115,Death rate for stroke patients,12.2,No Different Than the National Rate
030117,Death rate for stroke patients,13.6,No Different Than the National Rate
030119,Death rate for stroke patients,11.6,No Different Than the National Rate
030121,Death rate for stroke patients,13.4,No Different Than the National Rate
030122,Death rate for stroke patients,15.3,No Different Than the National Rate
030123,Death rate for stroke patients,10.5,No Different Than the National Rate
03012F,Death rate for stroke patients,Not Available,Not Available
030130,Death rate for stroke patients,Not Available,Number of Cases Too Small
030134,Death rate for stroke patients,Not Available,Not Available
030136,Death rate for stroke patients,Not Available,Not Available
030138,Death rate for stroke patients,Not Available,Not Available
030139,Death rate for stroke patients,Not Available,Number of Cases Too Small
03013F,Death rate for stroke patients,Not Available,Not Available
030146,Death rate for stroke patients,Not Available,Number of Cases Too Small
030147,Death rate for stroke patients,12.5,No Different Than the National Rate
030148,Death rate for stroke patients,12.6,No Different Than the National Rate
030152,Death rate for stroke patients,Not Available,Not Available
030153,Death rate for stroke patients,Not Available,Not Available
030154,Death rate for stroke patients,Not Available,Not Available
030155,Death rate for stroke patients,Not Available,Not Available
03033F,Death rate for stroke patients,Not Available,Not Available
031300,Death rate for stroke patients,Not Available,Number of Cases Too Small
031301,Death rate for stroke patients,Not Available,Not Available
031302,Death rate for stroke patients,Not Available,Number of Cases Too Small
031304,Death rate for stroke patients,Not Available,Number of Cases Too Small
031305,Death rate for stroke patients,Not Available,Not Available
031307,Death rate for stroke patients,Not Available,Not Available
031308,Death rate for stroke patients,Not Available,Not Available
031309,Death rate for stroke patients,Not Available,Number of Cases Too Small
031311,Death rate for stroke patients,Not Available,Not Available
031312,Death rate for stroke patients,Not Available,Not Available
031313,Death rate for stroke patients,Not Available,Not Available
031314,Death rate for stroke patients,Not Available,Number of Cases Too Small
031315,Death rate for stroke patients,Not Available,Number of Cases Too Small
031317,Death rate for stroke patients,Not Available,Number of Cases Too Small
031318,Death rate for stroke patients,13.2,No Different Than the National Rate
031319,Death rate for stroke patients,Not Available,Number of Cases Too Small
031320,Death rate for stroke patients,Not Available,Number of Cases Too Small
033302,Death rate for stroke patients,Not Available,Not Available
040001,Death rate for stroke patients,Not Available,Number of Cases Too Small
040002,Death rate for stroke patients,Not Available,Number of Cases Too Small
040004,Death rate for stroke patients,14.1,No Different Than the National Rate
040007,Death rate for stroke patients,13.9,No Different Than the National Rate
040010,Death rate for stroke patients,12,No Different Than the National Rate
040011,Death rate for stroke patients,Not Available,Number of Cases Too Small
040014,Death rate for stroke patients,15.7,No Different Than the National Rate
040015,Death rate for stroke patients,Not Available,Number of Cases Too Small
040016,Death rate for stroke patients,14.8,No Different Than the National Rate
040017,Death rate for stroke patients,13.6,No Different Than the National Rate
040018,Death rate for stroke patients,Not Available,Not Available
040019,Death rate for stroke patients,Not Available,Number of Cases Too Small
040020,Death rate for stroke patients,16.6,No Different Than the National Rate
040022,Death rate for stroke patients,16.2,No Different Than the National Rate
040026,Death rate for stroke patients,11.7,No Different Than the National Rate
040027,Death rate for stroke patients,16.8,No Different Than the National Rate
040029,Death rate for stroke patients,15.4,No Different Than the National Rate
040036,Death rate for stroke patients,17.5,Worse Than the National Rate
040039,Death rate for stroke patients,12.3,No Different Than the National Rate
040041,Death rate for stroke patients,14.3,No Different Than the National Rate
040050,Death rate for stroke patients,Not Available,Number of Cases Too Small
040051,Death rate for stroke patients,Not Available,Number of Cases Too Small
040055,Death rate for stroke patients,13.2,No Different Than the National Rate
040062,Death rate for stroke patients,12.8,No Different Than the National Rate
040067,Death rate for stroke patients,Not Available,Number of Cases Too Small
040069,Death rate for stroke patients,Not Available,Number of Cases Too Small
040071,Death rate for stroke patients,18.5,Worse Than the National Rate
040072,Death rate for stroke patients,Not Available,Number of Cases Too Small
040076,Death rate for stroke patients,Not Available,Number of Cases Too Small
040078,Death rate for stroke patients,15.5,No Different Than the National Rate
040084,Death rate for stroke patients,15.9,No Different Than the National Rate
040088,Death rate for stroke patients,13,No Different Than the National Rate
04009F,Death rate for stroke patients,Not Available,Not Available
04010F,Death rate for stroke patients,Not Available,Not Available
040114,Death rate for stroke patients,15.7,Worse Than the National Rate
040118,Death rate for stroke patients,13.2,No Different Than the National Rate
040119,Death rate for stroke patients,12.1,No Different Than the National Rate
040132,Death rate for stroke patients,Not Available,Not Available
040134,Death rate for stroke patients,Not Available,Number of Cases Too Small
040137,Death rate for stroke patients,14.8,No Different Than the National Rate
040147,Death rate for stroke patients,Not Available,Not Available
040153,Death rate for stroke patients,Not Available,Number of Cases Too Small
040154,Death rate for stroke patients,13.5,No Different Than the National Rate
040156,Death rate for stroke patients,Not Available,Number of Cases Too Small
040161,Death rate for stroke patients,Not Available,Number of Cases Too Small
040164,Death rate for stroke patients,Not Available,Not Available
041300,Death rate for stroke patients,Not Available,Number of Cases Too Small
041302,Death rate for stroke patients,Not Available,Number of Cases Too Small
041303,Death rate for stroke patients,Not Available,Not Available
041305,Death rate for stroke patients,Not Available,Number of Cases Too Small
041306,Death rate for stroke patients,Not Available,Not Available
041307,Death rate for stroke patients,Not Available,Number of Cases Too Small
041308,Death rate for stroke patients,Not Available,Number of Cases Too Small
041309,Death rate for stroke patients,Not Available,Number of Cases Too Small
041310,Death rate for stroke patients,Not Available,Number of Cases Too Small
041311,Death rate for stroke patients,Not Available,Number of Cases Too Small
041312,Death rate for stroke patients,Not Available,Number of Cases Too Small
