county_fips,county_name,state,stroke_mortality_rate,uninsured_rate,burden_index,population,state_norm,county_norm,hospitals_reporting,mean_stroke_score,mean_performance_weight,burden_scaled,supply_score,care_gap_index_raw,care_gap_index,SCAI,data_status,national_rank,category
00002,Alaska,AK,69.6,,,,AK,ALASKA,0.0,,-1.0,,0.0,,,,VALID,,
01001,Autauga County,AL,114.9,4268.0,4903.932,59285.0,AL,AUTAUGA,1.0,13.2,1.0,8.497996508498677,0.6931471805599453,6.201513615712186,0.4552055164913443,0.5447944835086558,VALID,528.0,Good Access
01003,Baldwin County,AL,78.3,19338.0,15141.654,239945.0,AL,BALDWIN,2.0,13.55,0.0,9.625270808854568,0.0,9.625270808854568,0.7065172539189096,0.2934827460810904,VALID,2343.0,Lowest Access
01005,Barbour County,AL,75.9,2350.0,1783.65,24757.0,AL,BARBOUR,0.0,,-1.0,7.486977596556478,0.0,7.486977596556478,0.5495615610945046,0.4504384389054954,VALID,1458.0,Moderate Access
01007,Bibb County,AL,95.9,1730.0,1659.07,22152.0,AL,BIBB,0.0,,-1.0,7.414615049136214,0.0,7.414615049136214,0.5442499818875164,0.4557500181124836,VALID,1392.0,Moderate Access
01009,Blount County,AL,103.7,5997.0,6218.889,59292.0,AL,BLOUNT,0.0,,-1.0,8.735507339914825,0.0,8.735507339914825,0.6412065468025581,0.35879345319744194,VALID,2168.0,Low Access
01011,Bullock County,AL,109.9,1185.0,1302.315,10157.0,AL,BULLOCK,0.0,,-1.0,7.172666297716204,0.0,7.172666297716204,0.5264903810578836,0.4735096189421164,VALID,1198.0,Moderate Access
01013,Butler County,AL,129.1,2272.0,2933.152,18807.0,AL,BUTLER,0.0,,-1.0,7.984173763768656,0.0,7.984173763768656,0.5860569156350339,0.4139430843649661,VALID,1816.0,Low Access
01015,Calhoun County,AL,77.0,12680.0,9763.6,116141.0,AL,CALHOUN,1.0,12.9,1.0,9.18651887985018,0.6931471805599453,6.703970972147738,0.4920870545519286,0.5079129454480714,VALID,838.0,Good Access
01017,Chambers County,AL,117.6,4156.0,4887.456,34450.0,AL,CHAMBERS,0.0,,-1.0,8.494631786189252,0.0,8.494631786189252,0.6235257211786356,0.3764742788213644,VALID,2073.0,Low Access
